"id","company_name","date","rd_budget","buget_use_rate","capital","turnover","net_income","income_capital_ratio","income_per_capital","all_capital","debt","SH_equity","cost","EPS","outside_income","season","month","update_time"
"7190","2441 超豐","2000","18992","0.51","3708582","163228","656072","35.6","29.81","5556022","2490808","3065214","2889282","2.85","2.88","4","12","2022-03-31 21:18:07"
"127450","6109 亞元","2020","44578","6.79","656937","143983","5837","0.98","0.71","1214316","595943","618373","518791","0.16","0.25","3","9","2022-03-31 22:21:06"
"67739","1210 大成","2013","57520","0.09","65599619","5092552","533474","9.42","14.71","37346981","20073302","17273679","59973593","1.16","0.46","3","9","2022-03-31 21:49:41"
"75852","1109 信大","2014","0","0","3629205","376179","359326","8.54","8.47","9101517","2201461","6900056","2893700","0.55","0.07","3","9","2022-03-31 21:53:55"
"78573","M2330 資訊服務業指數","2014","0","0","48680253","10501821","2954983","21.63","28.35","53740818","18564690","35176128","35216458","2.33","1.88","4","12","2022-03-31 21:55:21"
"34522","6603 富強鑫","2009","5727","1.96","292922","71813","39117","5.28","3.22","2914824","1559068","1355756","260226","0.32","5.21","1","3","2022-03-31 21:32:14"
"52251","2364 倫飛","2011","84022","5.26","1596447","286677","1815","0.07","2.02","2588650","1238568","1350082","1307955","0.15","3.4","3","9","2022-03-31 21:41:34"
"26701","4106 雃博","2007","59137","4.27","1386031","316531","143111","21.75","24.72","1613828","541282","1072546","926389","2.33","1.41","4","12","2022-03-31 21:28:08"
"81275","6023 元大期","2015","0","0","536912","204087","65435","2.82","7.11","42680127","34995394","7684733","0","0.56","18.59","1","3","2022-03-31 21:56:46"
"122334","2206 三陽工業","2020","253347","3.11","8136100","1238596","311710","3.65","7.92","41061211","26069973","14991238","6585794","0.76","4.48","1","3","2022-03-31 22:18:23"
"46732","2302 麗正","2010","0","0","1158654","227698","22236","1.41","2.61","2170957","386905","1784052","908720","0.25","1.62","4","12","2022-03-31 21:38:40"
"56536","M2331 其他電子業指數","2012","0","0","1086498727","43958494","14488374","7.15","10.02","2387876881","1521365645","866511236","1028052727","0.72","0.54","1","3","2022-03-31 21:43:49"
"85291","5538 東明KY","2015","30066","0.66","4589754","361834","278487","16.58","16.68","5079122","1451608","3627514","3949433","1.27","0.04","3","9","2022-03-31 21:58:55"
"62501","TEJT17 電子 IC設計","2012","58669045","17.47","335736034","84445892","27536389","26.79","29.62","462794047","108236348","354557699","223809005","2.59","0.87","4","12","2022-03-31 21:46:57"
"51761","2615 萬海","2011","0","0","50496892","2743287","247829","1.12","3.65","75558226","45550091","30008135","48001434","0.25","2.1","3","9","2022-03-31 21:41:19"
"53557","3607 谷崧","2011","61131","0.76","8039005","690232","482403","43.29","39.88","10740378","4710948","6029430","6866370","3.02","0.47","4","12","2022-03-31 21:42:15"
"39070","1593 祺驊","2009","12654","2.18","581427","74737","55954","30.25","24.11","676212","193353","482859","450736","1.58","1.95","4","12","2022-03-31 21:34:40"
"103670","6806 森崴能源","2017","0","0","397016","36060","8908","4.85","5.05","497462","375697","121765","352048","0.5","0.09","4","12","2022-03-31 22:08:35"
"102901","1613 台一","2017","10130","0.04","24933650","483790","128887","5.66","78.28","5109063","4238283","870780","24284825","7.69","6.63","4","12","2022-03-31 22:08:11"
"23540","3264 欣銓","2007","46247","2.9","1595687","106503","348122","8.8","8.37","8828268","3426633","5401635","1141062","0.82","1.06","2","6","2022-03-31 21:26:31"
"11542","8329 台視","2002","0","0","2092067","310602","427388","15.23","16.74","6168017","2258402","3909615","2208853","1.65","2.02","4","12","2022-03-31 21:20:22"
"93876","3556 禾瑞亞","2016","242190","19.61","1234725","350967","214419","37.5","38.19","1510150","311273","1198877","669339","3.46","0.32","4","12","2022-03-31 22:03:27"
"118080","2608 嘉里大榮","2019","0","0","8677879","508768","1184979","25.37","27.64","21306760","11632278","9674482","6984132","2.15","1.22","3","9","2022-03-31 22:16:08"
